a,b,c,,,,,,,,,,,,
0,0.174,0.108,,,,,,,,,,,,
5,0.224,0.150,,,,,,,,,,,,
10,0.326,0.228,,,,,,,,,,,,
15,0.426,0.299,,,,,,,,,,,,
20,0.489,0.387,,,,,,,,,,,,
25,0.615,0.462,,,,,,,,,,,,
30,0.609,0.529,,,,,,,,,,,,
60,0.981,1.028,,,,,,,,,,,,
90,1.097,1.222,,,,,,,,,,,,
120,1.038,1.156,,,,,,,,,,,,
150,0.797,1.544,,,,,,,,,,,,
180,0.711,1.485,,,,,,,,,,,,
210,0.794,1.709,,,,,,,,,,,,
240,0.888,1.701,,,,,,,,,,,,
270,0.908,1.665,,,,,,,,,,,,
300,1.025,1.675,,,,,,,,,,,,
