a,b,c,d,e,f,g
0,0.103,0.151,0.126,0.137,0.198,0.126
10,0.100,0.143,0.124,0.146,0.192,0.144
20,0.101,0.146,0.122,0.152,0.191,0.174
30,0.101,0.148,0.126,0.160,0.172,0.161
40,0.098,0.150,0.128,0.172,0.108,0.169
50,0.095,0.163,0.128,0.178,0.110,0.200
60,0.099,0.163,0.128,0.178,0.112,0.207
