a,b,c,d,,,,,,,,,,,
0,0.281,0.281,0.281,,,,,,,,,,,
2,0.353,0.426,0.330,,,,,,,,,,,
4,0.372,0.439,0.365,,,,,,,,,,,
6,0.383,0.429,0.404,,,,,,,,,,,
8,0.354,0.420,0.423,,,,,,,,,,,
10,0.367,0.362,0.399,,,,,,,,,,,
12,0.363,0.375,0.450,,,,,,,,,,,
14,0.352,0.367,0.420,,,,,,,,,,,
16,0.373,0.422,0.348,,,,,,,,,,,
18,0.368,0.433,0.308,,,,,,,,,,,
20,0.379,0.434,0.315,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
