a,b,c,d,e,,,,,,,,,,
0,0.15,0,0.13,0.14,,,,,,,,,,
5,0.14,0.01,0.13,0.14,,,,,,,,,,
10,0.14,0.04,0.11,0.15,,,,,,,,,,
15,0.22,0.21,0.1,0.21,,,,,,,,,,
20,0.21,0.07,0.1,0.22,,,,,,,,,,
25,0.18,0.06,0.1,0.28,,,,,,,,,,
30,0.15,0.04,-,0.32,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
