a,b,c,d,e,f,g
0,0.107,0.340,0.261,0.371,0.104,0.174
20,1.239,0.358,0.904,0.471,0.756,0.282
40,1.235,0.364,0.874,0.678,0.829,0.260
60,1.395,0.372,0.900,0.810,0.835,0.240
,,,,,,
,,,,,,
,,,,,,
