a,b,c,d,e,f,g
0,0.094,0.110,0.132,0.039,0.111,0.123
20,0.944,0.587,0.790,0.312,0.720,0.598
40,1.498,0.544,0.983,0.489,1.472,0.709
60,1.824,0.727,1.122,0.552,1.521,0.743
,,,,,,
,,,,,,
,,,,,,
