a,b,c,d,e,,,,,,,,,,
0,0.093,0.121,0.122,0.139,,,,,,,,,,
10,0.096,0.254,0.124,0.170,,,,,,,,,,
20,0.097,0.411,0.122,0.196,,,,,,,,,,
30,0.100,0.705,0.121,0.263,,,,,,,,,,
40,0.097,0.964,0.126,0.320,,,,,,,,,,
50,0.098,1.204,0.122,0.408,,,,,,,,,,
60,0.100,1.531,-,0.514,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
